Feature,Importance
kurtosis,0.07155561694126648
skewness,0.0707854173832063
hjorth_complexity,0.06208985716876718
zero_crossing_rate,0.06097562920452603
spectral_entropy,0.06083149415409478
snr,0.05974507818215688
shannon_entropy,0.05845513266375062
event_related_dynamics,0.055868421421889455
peak_to_peak_amplitude,0.055064214801646534
hjorth_mobility,0.054441893249579654
mean,0.05280012159019166
amplitude_modulation,0.05028979641221745
peak_to_peak,0.04954455530182778
variance,0.047344441590194665
hjorth_activity,0.043280920125575675
standard_deviation,0.04283852130608325
spike_count,0.040947865812477044
signal_variance,0.038380636605050325
power_psd_welch,0.006521549244068228
band_power,0.006495549617311153
relative_power,0.006370936512311856
power_tfr_morlet,0.005372350711807041
